operation,family,n,status,bmd_cold_time_s,bmd_warm_time_s,dense_time_s,sparse_time_s,dense_over_bmd_cold,dense_over_bmd_warm,sparse_over_bmd_cold,sparse_over_bmd_warm,bmd_base_nodes,bmd_result_nodes,bmd_new_workspace_nodes,bmd_cache_entries_after,sparse_terms_a,sparse_terms_b,sparse_result_terms,numeric_check_dense,numeric_check_sparse
evaluate,geometric,1000,OK,0.000217346,0.000217346,7.5191746031746e-06,2.45385e-05,0.0345954128586429,0.0345954128586429,0.112900628490978,0.112900628490978,18,18,NaN,0,1001,NaN,NaN,1,1
evaluate,geometric,5000,OK,0.000279491,0.000279491,3.55293333333333e-05,6.350975e-05,0.127121565035487,0.127121565035487,0.227233613962525,0.227233613962525,24,24,NaN,0,5001,NaN,NaN,1,1
evaluate,geometric,10000,OK,0.000313741,0.000313741,7.0626e-05,0.000117532666666667,0.225109246161643,0.225109246161643,0.374616854879237,0.374616854879237,26,26,NaN,0,10001,NaN,NaN,1,1
equality,geometric,1000,OK,1.30871457085828e-06,1.30871457085828e-06,3.25340659340659e-07,9.91e-07,0.248595581179549,0.248595581179549,0.757231578273084,0.757231578273084,18,NaN,NaN,0,1001,1001,NaN,1,1
equality,geometric,2000,OK,1.02328542914172e-06,1.02328542914172e-06,8.19846153846154e-07,1.54224750499002e-06,0.801190098576701,0.801190098576701,1.50715280514019,1.50715280514019,20,NaN,NaN,0,2001,2001,NaN,1,1
equality,geometric,2500,OK,1.08516167664671e-06,1.08516167664671e-06,1.02464135864136e-06,1.64204790419162e-06,0.944229215509744,0.944229215509744,1.51318272615908,1.51318272615908,22,NaN,NaN,0,2501,2501,NaN,1,1
equality,geometric,3000,OK,1.05122954091816e-06,1.05122954091816e-06,1.27677844311377e-06,1.8975369261477e-06,1.21455723361675,1.21455723361675,1.80506431020799,1.80506431020799,22,NaN,NaN,0,3001,3001,NaN,1,1
equality,geometric,4000,OK,1.10711776447106e-06,1.10711776447106e-06,1.79773652694611e-06,2.55312574850299e-06,1.62379882668128,1.62379882668128,2.30610132944871,2.30610132944871,22,NaN,NaN,0,4001,4001,NaN,1,1
equality,geometric,5000,OK,1.02128942115768e-06,1.02128942115768e-06,2.21779640718563e-06,2.90902788844622e-06,2.17156504438442,2.17156504438442,2.84838737010384,2.84838737010384,24,NaN,NaN,0,5001,5001,NaN,1,1
equality,geometric,7500,OK,1.06520159680639e-06,1.06520159680639e-06,3.4867171314741e-06,4.2305e-06,3.273293188752,3.273293188752,3.97154868400835,3.97154868400835,24,NaN,NaN,0,7501,7501,NaN,1,1
equality,geometric,10000,OK,1.08516167664671e-06,1.08516167664671e-06,4.7605e-06,5.30432335329341e-06,4.38690390791405,4.38690390791405,4.88804891238371,4.88804891238371,26,NaN,NaN,0,10001,10001,NaN,1,1
